Language	Feature	Feature_name	Value	Value_complexity
African American English	WALS 105A	Ditransitive constructions with 'give'	4	2.0
African American English	WALS 64A	Nominal and verbal conjunction	1	1.0
African American English	WALS 45A	Politeness distinctions in second-person pronouns	1	1.0
African American English	WALS 55A	Sortal numeral classifiers	1	0.0
African American English	WALS 41A	Distance contrasts in demonstratives	2	2.0
African American English	WALS 37A	Definite articles	1	2.0
African American English	WALS 71A	The prohibitive	1	0.0
African American English	WALS 90A	Order of relative clause and noun	1	1.0
African American English	WALS 39A	Inclusive/exclusive distinction in independent personal pronouns	3	1.0
African American English	WALS 52A	Comitatives and instrumentals	1	1.0
African American English	WALS 44A	Gender distinctions in personal pronouns	3	2.0
African American English	WALS 24A	Marking of possessor noun phrases	4	0.0
African American English	WALS 63A	Noun phrase conjunction and comitative	1	2.0
African American English	WALS 93A	Position of interrogative phrases in content questions	1	1.0
African American English	WALS 98A	Alignment of case marking of full noun phrases	1	0.0
African American English	WALS 89A	Order of cardinal numeral and noun	1	1.0
African American English	WALS 34A	Occurrence of nominal plural markers	6	2.0
African American English	WALS 99A	Alignment of case marking of personal pronouns	2	2.0
African American English	WALS 46A	Indefinite pronouns	2	0.0
African American English	WALS 42A	Pronominal and adnominal demonstratives	1	1.0
African American English	WALS 119A	Predicative noun phrases and predicative locative phrases	2	1.0
African American English	WALS 85A	Order of adposition and noun phrase	2	1.0
African American English	WALS 91A	Order of degree word and adjective	1	1.0
African American English	WALS 38A	Indefinite articles	1	2.0
African American English	WALS 120A	Predicative noun phrases	2	2.0
African American English	WALS 81A	Order of subject, object, and verb	7	0.0
African American English	WALS 53A	Ordinal numerals	7	6.0
African American English	WALS 87A	Order of adjective and noun	1	1.0
African American English	WALS 54A	Adnominal distributive numerals	1	0.0
African American English	WALS 101A	Expression of pronominal subjects	1	0.0
African American English	WALS 33A	Expression of nominal plural meaning	2	2.0
African American English	WALS 86A	Order of possessor and possessum	1	1.0
African American English	WALS 79A	Suppletion according to tense and aspect	1	2.0
African American English	WALS 88A	Order of demonstrative and noun	1	1.0
African American English	WALS 116A	Polar questions	3	2.0
African American English	WALS 124A	Wantí complement subjects	1	1.0
African American English	WALS 129A	Hand' and 'arm'	2	2.0
African American English	WALS 106A	Reciprocal constructions	2	2.0
African American English	WALS 10A	Nasal vowels	2	1.0
African American English	WALS 122A	Subject relative clauses	4	1.0
African American English	WALS 47A	Intensifiers and reflexive pronouns	1	1.0
African American English	WALS 115A	Negation and indefinite pronouns	1	1.0
African American English	WALS 109A	Applicative constructions	8	0.0
African American English	WALS 13A	Tone	1	0.0
Afrikaans	WALS 116A	Polar questions	4	1.0
Afrikaans	WALS 47A	Intensifiers and reflexive pronouns	1	1.0
Afrikaans	WALS 10A	Nasal vowels	2	1.0
Afrikaans	WALS 109A	Applicative constructions	8	0.0
Afrikaans	WALS 13A	Tone	1	0.0
Afrikaans	WALS 106A	Reciprocal constructions	2	2.0
Afrikaans	WALS 129A	Hand' and 'arm'	2	2.0
Afrikaans	WALS 115A	Negation and indefinite pronouns	1	1.0
Afrikaans	WALS 122A	Subject relative clauses	4	1.0
Afrikaans	WALS 124A	Wantí complement subjects	1	1.0
Afrikaans	WALS 53A	Ordinal numerals	8	6.0
Afrikaans	WALS 63A	Noun phrase conjunction and comitative	1	2.0
Afrikaans	WALS 44A	Gender distinctions in personal pronouns	3	2.0
Afrikaans	WALS 46A	Indefinite pronouns	4	4.0
Afrikaans	WALS 41A	Distance contrasts in demonstratives	2	2.0
Afrikaans	WALS 87A	Order of adjective and noun	1	1.0
Afrikaans	WALS 52A	Comitatives and instrumentals	1	1.0
Afrikaans	WALS 89A	Order of cardinal numeral and noun	1	1.0
Afrikaans	WALS 120A	Predicative noun phrases	1	1.0
Afrikaans	WALS 93A	Position of interrogative phrases in content questions	1	1.0
Afrikaans	WALS 101A	Expression of pronominal subjects	1	0.0
Afrikaans	WALS 42A	Pronominal and adnominal demonstratives	2	2.0
Afrikaans	WALS 24A	Marking of possessor noun phrases	2	1.0
Afrikaans	WALS 98A	Alignment of case marking of full noun phrases	2	2.0
Afrikaans	WALS 99A	Alignment of case marking of personal pronouns	2	2.0
Afrikaans	WALS 33A	Expression of nominal plural meaning	2	2.0
Afrikaans	WALS 64A	Nominal and verbal conjunction	1	1.0
Afrikaans	WALS 34A	Occurrence of nominal plural markers	6	2.0
Afrikaans	WALS 38A	Indefinite articles	1	2.0
Afrikaans	WALS 90A	Order of relative clause and noun	1	1.0
Afrikaans	WALS 39A	Inclusive/exclusive distinction in independent personal pronouns	3	1.0
Afrikaans	WALS 88A	Order of demonstrative and noun	1	1.0
Afrikaans	WALS 79A	Suppletion according to tense and aspect	1	2.0
Afrikaans	WALS 119A	Predicative noun phrases and predicative locative phrases	2	1.0
Afrikaans	WALS 37A	Definite articles	1	2.0
Afrikaans	WALS 81A	Order of subject, object, and verb	7	0.0
Afrikaans	WALS 91A	Order of degree word and adjective	1	1.0
Afrikaans	WALS 55A	Sortal numeral classifiers	1	0.0
Afrikaans	WALS 105A	Ditransitive constructions with 'give'	1	1.0
Afrikaans	WALS 85A	Order of adposition and noun phrase	4	2.0
Afrikaans	WALS 71A	The prohibitive	2	2.0
Afrikaans	WALS 54A	Adnominal distributive numerals	1	0.0
Afrikaans	WALS 86A	Order of possessor and possessum	1	1.0
Ambon Malay	WALS 99A	Alignment of case marking of personal pronouns	2	2.0
Ambon Malay	WALS 87A	Order of adjective and noun	2	1.0
Ambon Malay	WALS 63A	Noun phrase conjunction and comitative	2	1.0
Ambon Malay	WALS 42A	Pronominal and adnominal demonstratives	1	1.0
Ambon Malay	WALS 91A	Order of degree word and adjective	3	2.0
Ambon Malay	WALS 71A	The prohibitive	2	2.0
Ambon Malay	WALS 90A	Order of relative clause and noun	1	1.0
Ambon Malay	WALS 64A	Nominal and verbal conjunction	1	1.0
Ambon Malay	WALS 33A	Expression of nominal plural meaning	5	2.0
Ambon Malay	WALS 46A	Indefinite pronouns	2	0.0
Ambon Malay	WALS 98A	Alignment of case marking of full noun phrases	1	0.0
Ambon Malay	WALS 86A	Order of possessor and possessum	1	1.0
Ambon Malay	WALS 37A	Definite articles	5	0.0
Ambon Malay	WALS 79A	Suppletion according to tense and aspect	4	0.0
Ambon Malay	WALS 89A	Order of cardinal numeral and noun	2	1.0
Ambon Malay	WALS 119A	Predicative noun phrases and predicative locative phrases	2	1.0
Ambon Malay	WALS 54A	Adnominal distributive numerals	2	2.0
Ambon Malay	WALS 53A	Ordinal numerals	6	4.0
Ambon Malay	WALS 38A	Indefinite articles	5	0.0
Ambon Malay	WALS 24A	Marking of possessor noun phrases	2	1.0
Ambon Malay	WALS 39A	Inclusive/exclusive distinction in independent personal pronouns	3	1.0
Ambon Malay	WALS 44A	Gender distinctions in personal pronouns	6	0.0
Ambon Malay	WALS 85A	Order of adposition and noun phrase	2	1.0
Ambon Malay	WALS 105A	Ditransitive constructions with 'give'	1	1.0
Ambon Malay	WALS 41A	Distance contrasts in demonstratives	2	2.0
Ambon Malay	WALS 55A	Sortal numeral classifiers	2	2.0
Ambon Malay	WALS 120A	Predicative noun phrases	2	2.0
Ambon Malay	WALS 93A	Position of interrogative phrases in content questions	2	1.0
Ambon Malay	WALS 81A	Order of subject, object, and verb	2	1.0
Ambon Malay	WALS 88A	Order of demonstrative and noun	2	1.0
Ambon Malay	WALS 52A	Comitatives and instrumentals	1	1.0
Ambon Malay	WALS 101A	Expression of pronominal subjects	5	2.0
Ambon Malay	WALS 34A	Occurrence of nominal plural markers	4	3.0
Ambon Malay	WALS 129A	Hand' and 'arm'	1	1.0
Ambon Malay	WALS 112A	Negative morpheme types	2	1.0
Ambon Malay	WALS 116A	Polar questions	6	1.0
Ambon Malay	WALS 124A	Wantí complement subjects	1	1.0
Ambon Malay	WALS 47A	Intensifiers and reflexive pronouns	2	2.0
Ambon Malay	WALS 109A	Applicative constructions	8	0.0
Ambon Malay	WALS 10A	Nasal vowels	2	1.0
Ambon Malay	WALS 115A	Negation and indefinite pronouns	1	1.0
Ambon Malay	WALS 122A	Subject relative clauses	4	1.0
Ambon Malay	WALS 106A	Reciprocal constructions	2	2.0
Ambon Malay	WALS 13A	Tone	1	0.0
Angolar	WALS 115A	Negation and indefinite pronouns	1	1.0
Angolar	WALS 109A	Applicative constructions	8	0.0
Angolar	WALS 122A	Subject relative clauses	1	1.0
Angolar	WALS 124A	Wantí complement subjects	3	2.0
Angolar	WALS 129A	Hand' and 'arm'	1	1.0
Angolar	WALS 116A	Polar questions	6	1.0
Angolar	WALS 47A	Intensifiers and reflexive pronouns	2	2.0
Angolar	WALS 13A	Tone	2	2.0
Angolar	WALS 106A	Reciprocal constructions	2	2.0
Angolar	WALS 112A	Negative morpheme types	6	2.0
Angolar	WALS 10A	Nasal vowels	1	2.0
Angolar	WALS 71A	The prohibitive	1	0.0
Angolar	WALS 41A	Distance contrasts in demonstratives	3	3.0
Angolar	WALS 38A	Indefinite articles	2	1.0
Angolar	WALS 86A	Order of possessor and possessum	2	1.0
Angolar	WALS 79A	Suppletion according to tense and aspect	1	2.0
Angolar	WALS 88A	Order of demonstrative and noun	2	1.0
Angolar	WALS 81A	Order of subject, object, and verb	2	1.0
