Feature	Language	Complexity	Set
WALS101A	GurindjiKriol	0.0	APiCS
WALS101A	MixedMaaMbugu	0.666666666667	APiCS
WALS101A	PapiaKristang	1.0	APiCS
WALS101A	GuineaBissauKriyol	0.0	APiCS
WALS101A	PidginHawaiian	1.0	APiCS
WALS101A	Kriol	0.0	APiCS
WALS101A	PidginHindustani	0.0	APiCS
WALS101A	DiuIndoPortuguese	1.0	APiCS
WALS101A	Pichi	0.0	APiCS
WALS101A	Guyanais	0.0	APiCS
WALS101A	Principense	0.0	APiCS
WALS101A	Jamaican	0.0	APiCS
WALS101A	Santome	0.0	APiCS
WALS101A	Lingala	0.666666666667	APiCS
WALS101A	Sango	1.0	APiCS
WALS101A	KikongoKituba	0.0	APiCS
WALS101A	MediaLengua	0.666666666667	APiCS
WALS101A	FadAmbo	0.0	APiCS
WALS101A	NicaraguanCreoleEnglish	0.0	APiCS
WALS101A	GuadeloupeanCreole	0.0	APiCS
WALS101A	Papiamentu	0.666666666667	APiCS
WALS101A	LouisianaCreole	0.0	APiCS
WALS101A	SanAndresCreoleEnglish	0.0	APiCS
WALS101A	Krio	0.0	APiCS
WALS101A	Nengee	0.0	APiCS
WALS101A	Fanakalo	0.0	APiCS
WALS101A	ReunionCreole	1.0	APiCS
WALS101A	Korlai	1.0	APiCS
WALS101A	Michif	0.666666666667	APiCS
WALS101A	Gullah	0.0	APiCS
WALS101A	Palenquero	0.0	APiCS
WALS101A	Kinubi	0.0	APiCS
WALS101A	Norfk	0.0	APiCS
WALS101A	GhanaianPidginEnglish	0.0	APiCS
WALS101A	NigerianPidgin	0.0	APiCS
WALS101A	HaitianCreole	0.0	APiCS
WALS101A	MartinicanCreole	0.0	APiCS
WALS101A	JubaArabic	0.0	APiCS
WALS101A	Negerhollands	0.0	APiCS
WALS101A	HawaiiCreole	0.0	APiCS
WALS101A	MauritianCreole	1.0	APiCS
WALS101A	EarlySranan	0.0	APiCS
WALS101A	BerbiceDutch	0.0	APiCS
WALS101A	VincentianCreole	0.0	APiCS
WALS101A	BelizeanCreole	0.0	APiCS
WALS101A	SingaporeBazaarMalay	1.0	APiCS
WALS101A	Angolar	0.0	APiCS
WALS101A	TernateChabacano	1.0	APiCS
WALS101A	SeychellesCreole	1.0	APiCS
WALS101A	AmbonMalay	1.0	APiCS
WALS101A	Singlish	1.0	APiCS
WALS101A	Afrikaans	0.0	APiCS
WALS101A	SriLankaPortuguese	1.0	APiCS
WALS101A	CapeVerdeanCreoleofSantiago	0.0	APiCS
WALS101A	TrinidadEnglishCreole	0.0	APiCS
WALS101A	CasamanceseCreole	0.0	APiCS
WALS101A	TokPisin	0.0	APiCS
WALS101A	CaviteChabacano	1.0	APiCS
WALS101A	SriLankanMalay	1.0	APiCS
WALS101A	ChinesePidginRussian	1.0	APiCS
WALS101A	ZamboangaChabacano	1.0	APiCS
WALS101A	CapeVerdeanCreoleofS~aoVicente	0.0	APiCS
WALS101A	ChinukWawa	0.0	APiCS
WALS101A	Tayo	0.0	APiCS
